bin,distance_mid,n_cells,cholesterol_biosynthesis_mean,cholesterol_biosynthesis_sem,immune_activation_mean,immune_activation_sem,proliferation_mean,proliferation_sem,hypoxia_stress_mean,hypoxia_stress_sem
0,-172.5,1189,0.14067430794239044,0.013631091696887197,-0.1314912885427475,0.003955790736320426,0.014369307085871696,0.011233106094454574,0.39651036262512207,0.0176452077061837
1,-117.5,2199,0.22122052311897278,0.012177983552759519,-0.12627987563610077,0.0032970067747134556,0.08014561235904694,0.010478410553259248,0.3403306305408478,0.012264677758095376
2,-62.5,3409,0.2636215388774872,0.010426540120177772,-0.1028306633234024,0.003933238001154606,0.15987369418144226,0.009804777595429822,0.3098505437374115,0.009423695296604284
3,-7.5,938,0.22895194590091705,0.01880514889747927,-0.09743679314851761,0.006604211472727303,0.18436840176582336,0.01910087968364074,0.21111761033535004,0.0153499022130809
4,47.5,2075,0.2170066088438034,0.012186113717335047,-0.012130125425755978,0.007574609294230096,0.15202933549880981,0.012480125314949138,0.2071034014225006,0.011181854000388835
5,102.5,1577,0.01696869544684887,0.008293737070778526,0.05395375192165375,0.011399929265587585,-0.020328190177679062,0.008423718001365826,0.03380689024925232,0.009617319065513545
6,157.5,1648,-0.022550389170646667,0.007279220136321323,0.04083164781332016,0.010155936264521593,-0.05812773481011391,0.006925767100471259,-0.03620583191514015,0.00819591122230623
7,212.5,1327,-0.0375458300113678,0.00782894693026282,0.05187975615262985,0.011406487687629778,-0.04708358645439148,0.008627615054699942,-0.06917101889848709,0.007856418432287933
8,267.5,1078,-0.051439058035612106,0.008319344694443537,0.07972392439842224,0.014872197357081734,-0.04674144834280014,0.009650280308793004,-0.09735554456710815,0.0078103374648543855
9,322.5,887,-0.07278446108102798,0.008836863244120544,0.0895097628235817,0.015469965046793363,-0.03753824532032013,0.011185030514938089,-0.08557376265525818,0.009431145616740478
10,377.5,805,-0.06773418188095093,0.00904630796097921,0.06767954677343369,0.014535414099996728,-0.02573937550187111,0.01154268552714309,-0.09457243978977203,0.008966672351626768
11,432.5,771,-0.08353979140520096,0.008169858574166203,0.054606061428785324,0.014561336509165794,-0.061859823763370514,0.010109268685990307,-0.11123637109994888,0.008509459070331361
12,487.5,767,-0.0769575983285904,0.008813245155599314,0.03506256639957428,0.014308139524928029,-0.05427010729908943,0.010311245595102771,-0.12795908749103546,0.008224697288670466
13,542.5,752,-0.08159749209880829,0.008531875477029374,0.055035173892974854,0.015270137618731121,-0.051461778581142426,0.011843842250727628,-0.11745515465736389,0.008607823931959552
14,597.5,754,-0.09190834313631058,0.008428965267158688,0.044665612280368805,0.013867237868980073,-0.03933654725551605,0.011261636727010327,-0.11320391297340393,0.008922706035576435
15,652.5,702,-0.09045891463756561,0.008639869377784317,0.05615851283073425,0.015542472548639595,-0.03681129962205887,0.011752401077722015,-0.1263679414987564,0.00880027097615996
16,707.5,689,-0.10628308355808258,0.007748048088242739,0.010948331095278263,0.013459952309148163,-0.048883263021707535,0.011750088847005074,-0.13798381388187408,0.008401569428469433
17,762.5,621,-0.083236463367939,0.009804478217384472,0.025554582476615906,0.015611169551677745,-0.03474551439285278,0.011885467793193865,-0.1249706968665123,0.009205292382284607
18,817.5,588,-0.08494960516691208,0.009574205607507397,0.038853105157613754,0.018790098207617307,-0.051544949412345886,0.013363707760418213,-0.12313038110733032,0.009676604455142854
19,872.5,575,-0.08394432067871094,0.009962896002500938,-0.01539019588381052,0.013673840537286356,-0.04451178014278412,0.012814567639759506,-0.1328267753124237,0.008640629999427572
20,927.5,556,-0.09292899817228317,0.009157291039365857,-0.01301007904112339,0.01489812262336335,-0.06774894148111343,0.011782714035937456,-0.14742392301559448,0.008339056084596563
21,982.5,582,-0.09983961284160614,0.008510655662584134,0.006673572584986687,0.016189608448701178,-0.0578484944999218,0.011349999633782994,-0.1421155333518982,0.008100564642784861
22,1037.5,602,-0.08807044476270676,0.008985558080026252,-0.005916936788707972,0.014320547651951758,-0.06380201131105423,0.010808921969294815,-0.13265609741210938,0.008792260793088903
23,1092.5,581,-0.08947387337684631,0.009463231487937639,0.009904111735522747,0.016358342016674396,-0.042065005749464035,0.013477491266630247,-0.12978479266166687,0.00986733002497015
24,1147.5,554,-0.08423826843500137,0.009869258993277326,0.020422525703907013,0.016032541448471105,-0.018786519765853882,0.014517526202895186,-0.1391259729862213,0.009002554164161595
25,1202.5,548,-0.10444245487451553,0.00909110243344962,0.03516997769474983,0.017651503686805046,-0.05923885852098465,0.012283268885933302,-0.12172416597604752,0.009835234324309642
26,1257.5,525,-0.09603223204612732,0.01014755534534895,0.04552079737186432,0.02067153007917139,-0.0669097825884819,0.012066514859117871,-0.14479321241378784,0.008940572446177464
27,1312.5,493,-0.08543593436479568,0.010761197616437108,0.042801547795534134,0.019954416625881162,-0.0480874627828598,0.013632943073018298,-0.14509770274162292,0.008566404061908102
28,1367.5,435,-0.10329047590494156,0.009505652673142035,0.05639879032969475,0.020895221492405903,0.0038637807592749596,0.020817981654873283,-0.12117660045623779,0.011272547357518377
29,1422.5,422,-0.09017427265644073,0.011824873154713048,0.049002982676029205,0.022952489103623835,-0.017709340900182724,0.019421199223768323,-0.14698085188865662,0.00983924815581608
30,1477.5,405,-0.10903114080429077,0.010907065164225073,0.006985193584114313,0.017645739401189263,-0.015967268496751785,0.016651733919791578,-0.12729506194591522,0.0111266795673373
31,1532.5,401,-0.10672801733016968,0.009827330535004465,0.019651206210255623,0.018417007235202218,-0.001391289522871375,0.01849285178636895,-0.13443908095359802,0.010723074448335994
32,1587.5,396,-0.10655946284532547,0.01089404103391272,0.04140005260705948,0.02098506257938539,-0.007584162522107363,0.0204113800989476,-0.1352648288011551,0.010885676060371921
33,1642.5,397,-0.09389687329530716,0.010877164900345706,0.040689945220947266,0.023287179174954504,-0.029295971617102623,0.018418578965760733,-0.12712033092975616,0.01031194358605108
34,1697.5,361,-0.10204347223043442,0.011688955520328722,0.0001519723591627553,0.01993930182958904,-0.024275589734315872,0.019560762141880236,-0.13220612704753876,0.011475079937985069
