obs_name,method_cluster,selected_as_cancer_cluster,signed_distance_to_selected_cancer_cluster_boundary,x,y,annotation_optional_validation_only,score_cholesterol_biosynthesis,score_immune_activation,score_proliferation,score_hypoxia_stress
19_63917,8,False,2576.0127,10968.839,3380.3655,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_63926,3,False,3316.42,10976.15,2638.506,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,0.18558675
19_63927,8,False,2662.985,10971.517,3293.0715,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63929,7,False,1923.2756,10968.399,4034.8262,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63931,3,False,1457.55,10971.387,4502.37,T_cell,0.2960868,-0.15783484,0.6654216,-0.25734973
19_63932,7,False,1312.2635,10971.746,4648.5605,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_63939,7,False,3471.4783,10973.291,2483.418,M1_macrophages,0.37521258,-0.15783484,-0.1512911,0.084492885
19_63940,3,False,3115.6316,10969.572,2839.8496,Germinal_Center_Plasma_IgM_B_cell,0.37521258,-0.15783484,-0.1512911,-0.25734973
19_63943,3,False,1670.7546,10977.758,4287.4863,High_Endothelial_Venules,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63944,0,False,1618.3256,10981.543,4339.7876,Plasma_IgG,-0.17691031,1.0984651,0.9735157,0.18558675
19_63945,3,False,1178.0939,10971.495,4783.8438,High_Endothelial_Venules,-0.17691031,-0.15783484,0.6654216,0.444688
19_63946,3,False,2852.1785,10979.101,3103.162,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,0.236589,-0.1512911,0.18558675
19_63947,7,False,1142.4689,10974.645,4819.367,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63950,0,False,705.4576,10968.607,7965.9077,T_cell,-0.17691031,0.091018915,-0.1512911,0.444688
19_63956,3,False,3568.586,10972.854,2386.2349,High_Endothelial_Venules,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63957,7,False,3092.7393,10969.806,2862.76,unknown,-0.17691031,-0.15783484,0.61462086,-0.25734973
19_63958,3,False,2296.429,10973.649,3660.2236,unknown,-0.17691031,0.33987266,0.40942973,-0.25734973
19_63962,7,False,3875.534,10973.0625,1879.5175,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,0.5600834
19_63964,8,False,3051.3071,10978.57,2903.8037,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63966,8,False,2801.6477,10973.908,3154.046,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_63967,7,False,1555.2227,10972.012,4404.0977,unknown,-0.17691031,0.5153509,-0.1512911,-0.25734973
19_63968,8,False,487.85312,10972.9,5489.064,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63969,3,False,458.6986,10977.268,5518.387,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63970,1,True,-123.985985,10977.572,6292.9526,Tumor_Keratin_Pearl,-0.17691031,-0.15783484,0.86171067,0.2094484
19_63979,7,False,3393.664,10982.869,2560.8867,unknown,-0.17691031,-0.15783484,-0.1512911,0.8692064
19_63981,3,False,1957.0994,10972.547,4000.5505,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_63982,7,False,1486.1101,10976.331,4473.1284,M1_macrophages,-0.17691031,0.236589,-0.1512911,-0.041671056
19_63983,6,False,312.61816,10977.16,5670.4966,CAF,-0.17691031,-0.15783484,0.40942973,-0.25734973
19_63991,7,False,2882.7554,10973.958,3072.8152,M1_macrophages,0.2960868,0.5153509,-0.1512911,0.18558675
19_63995,5,False,603.5943,10981.845,8274.999,Plasma_IgG,-0.17691031,0.236589,-0.1512911,-0.25734973
19_63998,7,False,3433.3472,10977.808,2521.3862,unknown,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_63999,0,False,3172.6807,10982.956,2782.0842,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_64000,3,False,3078.7747,10983.913,2876.047,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64001,7,False,1031.034,10976.238,4931.7,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64002,5,False,61.442017,10982.147,6800.087,CAF,0.5129384,0.33987266,-0.1512911,1.063952
19_64003,6,False,569.96796,10979.777,7314.216,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64004,2,False,732.2055,10981.596,7476.6143,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64008,7,False,3015.1306,10985.738,2939.676,T_cell,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64009,7,False,1892.703,10979.079,4064.6306,unknown,-0.17691031,-0.15783484,-0.1512911,0.775762
19_64010,5,False,177.46692,10981.116,6918.8784,CAF,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64018,0,False,3897.704,10979.382,1800.4863,Plasma_IgA,-0.17691031,0.091018915,-0.1512911,-0.041671056
19_64023,7,False,1748.9346,10982.406,4208.6045,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64033,8,False,3030.1582,10980.068,2924.9045,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64035,0,False,2266.3262,10978.066,3690.098,unknown,0.37521258,-0.15783484,-0.1512911,-0.25734973
19_64036,7,False,1055.0199,10983.556,4906.413,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64037,0,False,966.38617,10983.8,4995.938,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64041,1,True,-98.324554,10979.308,6650.42,Tumor,1.3795369,0.091018915,-0.1512911,-0.25734973
19_64044,0,False,3994.7556,10990.642,1459.137,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64048,3,False,3138.8735,10986.948,2815.7446,T_cell,-0.17691031,1.6429917,-0.1512911,-0.25734973
19_64049,7,False,2994.6172,10983.609,2960.315,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64050,8,False,2964.9104,10979.251,2990.2734,M1_macrophages,0.37521258,-0.15783484,0.40942973,-0.25734973
19_64051,3,False,2488.7754,10979.48,3467.1155,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64053,7,False,1081.6265,10986.429,4879.1733,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64055,1,True,-124.46689,10979.224,6318.228,Tumor_Keratin_Pearl,0.91177905,-0.15783484,-0.1512911,-0.25734973
19_64056,5,False,98.49041,10986.792,6839.127,CAF,-0.17691031,-0.15783484,-0.1512911,0.4367062
19_64060,0,False,3954.073,10982.202,1575.9552,Germinal_Center_Plasma_IgM_B_cell,0.092886284,-0.15783484,-0.1512911,-0.25734973
19_64061,0,False,3914.7954,10989.557,1767.2913,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64063,7,False,3849.233,10981.076,2084.6746,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64067,7,False,3501.3506,10979.483,2453.2466,unknown,-0.17691031,-0.15783484,-0.1512911,-0.0062302863
19_64068,7,False,2096.7627,10982.1,3859.7805,T_cell,-0.17691031,-0.15783484,-0.1512911,0.5632004
19_64072,3,False,430.21768,10990.808,5543.8496,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64073,5,False,285.69525,10986.687,7027.8394,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_64086,7,False,2763.5107,10989.78,3191.3982,T_cell,0.2960868,-0.15783484,-0.1512911,-0.25734973
19_64090,2,False,730.20337,10988.591,7951.2856,M1_macrophages,-0.17691031,0.236589,-0.1512911,-0.25734973
19_64091,3,False,669.83997,10987.095,8068.994,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64098,0,False,3988.3733,10995.909,1498.9077,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
