gene
A2M
AAK1
AAMP
AARS1
ABHD14B
ABHD17A
ABI1
ABL1
ABLIM1
ABRACL
ACADVL
ACAP2
ACBD3
ACIN1
ACKR3
ACLY
ACO2
ACOX1
ACP1
ACP5
ACTA2
ACTB
ACTG1
ACTN1
ACTN4
ACTR10
ACTR1B
ACTR2
ACTR3
ADA2
ADAM10
ADAM12
ADAM17
ADAM19
ADAR
ADD1
ADD3
ADH5
ADI1
ADIPOR1
ADNP
ADPGK
AEBP1
AFF1
AFTPH
AGFG1
AGO2
AHCYL1
AHNAK
AHR
AHSA1
AIDA
AIF1
AIMP2
AK2
AK3
AKAP13
AKIRIN1
AKIRIN2
AKNA
AKR1A1
AKR1B1
AKT1
AKT2
ALDH2
ALKBH5
ALOX5AP
ALYREF
AMTN
AMZ2
ANAPC11
ANAPC16
ANAPC5
ANKH
ANKLE2
ANKRD10
ANKRD11
ANKRD13A
ANKRD17
ANKRD44
ANO1
ANP32A
ANP32B
ANP32E
ANTXR1
ANXA1
ANXA11
ANXA2
ANXA4
ANXA5
ANXA6
ANXA7
AP1B1
AP1S2
AP2B1
AP2M1
AP2S1
AP3D1
AP3S1
APBB1IP
APEX1
APH1A
API5
APLP2
APMAP
APOBEC3C
APOBEC3G
APOC1
APOE
APOL6
APP
APRT
ARAP1
ARCN1
ARF1
ARF3
ARF4
ARF5
ARF6
ARFGEF1
ARGLU1
ARHGAP1
ARHGAP15
ARHGAP21
ARHGAP23
ARHGAP30
ARHGAP45
ARHGAP9
ARHGDIA
ARHGDIB
ARHGEF1
ARHGEF18
ARHGEF2
ARHGEF3
ARID1A
ARID1B
ARID4B
ARIH1
ARIH2
ARL1
ARL2BP
ARL4C
ARL6IP1
ARL6IP5
ARL8A
ARL8B
ARPC1A
ARPC1B
ARPC2
ARPC3
ARPC4
ARPC5
ARPC5L
ARPP19
ARRB2
ARRDC3
ASAH1
ASAP1
ASXL1
ATF4
ATF7IP
ATL3
ATM
ATMIN
ATN1
ATOX1
ATP1A1
ATP1B1
ATP1B3
ATP2A2
ATP2A3
ATP2B4
ATP2C1
ATP5F1A
ATP5F1B
ATP5F1C
ATP5F1D
ATP5F1E
ATP5IF1
ATP5MC1
ATP5MC2
ATP5MC3
ATP5ME
ATP5MF
ATP5MG
ATP5MJ
ATP5MK
ATP5PB
ATP5PD
ATP5PF
ATP5PO
ATP6AP1
ATP6AP2
ATP6V0B
ATP6V0D1
ATP6V0E1
ATP6V1A
ATP6V1B2
ATP6V1E1
ATP6V1F
ATP6V1G1
ATRAID
ATRX
ATXN1
ATXN10
ATXN2L
ATXN7L3B
AUP1
AURKAIP1
AXL
AZIN1
B2M
B4GALT1
B4GALT2
BACE2
BAG6
BANF1
BASP1
BAX
BAZ1A
BAZ1B
BAZ2A
BCAP31
BCAS3
BCL11A
BCL11B
BCL2L1
BCL3
BCL7C
BCL9L
BCLAF1
BCYRN1
BECN1
BEX3
BGN
BHLHE40
BICD2
BIRC2
BIRC3
BIRC6
BLCAP
BLOC1S2
BLOC1S6
BLVRA
BMAL2
BMP2K
BMPR2
BNIP2
BPNT2
BPTF
BRD2
BRD4
BRI3
BRK1
BSG
BST2
BTBD1
BTBD2
BTF3
BTF3L4
BTG1
BTG2
BTN3A1
BTN3A2
BUB3
BZW1
BZW2
C11orf58
C12orf57
C12orf75
C14orf119
C19orf53
C1D
C1QA
